,datetime,Spot_Price_Prediction,power,dispatch,revenue,capacity,closing,decision1,decision2
0,2021-07-01 00:00:00,68.85,0.0,0.0,0.0,0.0,0.0,0,0
1,2021-07-01 00:30:00,44.0,-300.0,-150.0,-6660.0,0.0,135.0,-1,-1
2,2021-07-01 01:00:00,55.59,-300.0,-150.0,-8414.0,135.0,270.0,-1,-1
3,2021-07-01 01:30:00,59.82,-300.0,-150.0,-9054.0,270.0,405.0,-1,-1
4,2021-07-01 02:00:00,51.57,-300.0,-150.0,-7806.0,405.0,540.0,-1,-1
5,2021-07-01 02:30:00,29.34,-88.88888888888889,-44.44444444444444,-1316.0,540.0,580.0,-1,-1
6,2021-07-01 03:00:00,61.57,-0.0,-0.0,0.0,580.0,580.0,-1,-1
7,2021-07-01 03:30:00,106.87,-0.0,-0.0,0.0,580.0,580.0,-1,-1
8,2021-07-01 04:00:00,122.11,300.0,135.0,16336.0,580.0,430.0,1,1
9,2021-07-01 04:30:00,141.86,300.0,135.0,18979.0,430.0,280.0,1,1
10,2021-07-01 05:00:00,126.83,300.0,135.0,16968.0,280.0,130.0,1,1
11,2021-07-01 05:30:00,106.95,0.0,0.0,0.0,130.0,130.0,0,0
12,2021-07-01 06:00:00,107.69,0.0,0.0,0.0,130.0,130.0,0,0
13,2021-07-01 06:30:00,110.89,0.0,0.0,0.0,130.0,130.0,0,0
14,2021-07-01 07:00:00,113.78,260.0,117.0,13192.0,130.0,0.0,1,1
15,2021-07-01 07:30:00,96.37,0.0,0.0,0.0,0.0,0.0,1,1
16,2021-07-01 08:00:00,116.91,0.0,0.0,0.0,0.0,0.0,1,1
17,2021-07-01 08:30:00,121.01,0.0,0.0,0.0,0.0,0.0,1,1
18,2021-07-01 09:00:00,100.95,0.0,0.0,0.0,0.0,0.0,1,1
19,2021-07-01 09:30:00,59.91,0.0,0.0,0.0,0.0,0.0,0,0
20,2021-07-01 10:00:00,58.3,0.0,0.0,0.0,0.0,0.0,0,0
21,2021-07-01 10:30:00,55.09,0.0,0.0,0.0,0.0,0.0,0,0
22,2021-07-01 11:00:00,51.72,0.0,0.0,0.0,0.0,0.0,0,0
23,2021-07-01 11:30:00,36.74,-300.0,-150.0,-5561.0,0.0,135.0,-1,-1
24,2021-07-01 12:00:00,36.7,-300.0,-150.0,-5555.0,135.0,270.0,-1,-1
25,2021-07-01 12:30:00,37.97,-300.0,-150.0,-5747.0,270.0,405.0,-1,-1
26,2021-07-01 13:00:00,45.01,-300.0,-150.0,-6813.0,405.0,540.0,-1,-1
27,2021-07-01 13:30:00,62.9,-88.88888888888889,-44.44444444444444,-2821.0,540.0,580.0,-1,-1
28,2021-07-01 14:00:00,72.96,0.0,0.0,0.0,580.0,580.0,0,0
29,2021-07-01 14:30:00,64.18,-0.0,-0.0,0.0,580.0,580.0,-1,-1
30,2021-07-01 15:00:00,66.08,-0.0,-0.0,0.0,580.0,580.0,-1,-1
31,2021-07-01 15:30:00,80.17,0.0,0.0,0.0,580.0,580.0,0,0
32,2021-07-01 16:00:00,90.58,0.0,0.0,0.0,580.0,580.0,0,0
33,2021-07-01 16:30:00,101.33,300.0,135.0,13556.0,580.0,430.0,1,1
34,2021-07-01 17:00:00,117.37,300.0,135.0,15702.0,430.0,280.0,1,1
35,2021-07-01 17:30:00,94.2,300.0,135.0,12603.0,280.0,130.0,1,1
36,2021-07-01 18:00:00,72.46,0.0,0.0,0.0,130.0,130.0,0,0
37,2021-07-01 18:30:00,63.81,-300.0,-150.0,-9658.0,130.0,265.0,-1,-1
38,2021-07-01 19:00:00,78.21,0.0,0.0,0.0,265.0,265.0,0,0
39,2021-07-01 19:30:00,58.7,-300.0,-150.0,-8885.0,265.0,400.0,-1,-1
40,2021-07-01 20:00:00,65.64,-300.0,-150.0,-9935.0,400.0,535.0,-1,-1
41,2021-07-01 20:30:00,71.38,-100.0,-50.0,-3601.0,535.0,580.0,-1,-1
42,2021-07-01 21:00:00,76.24,0.0,0.0,0.0,580.0,580.0,0,0
43,2021-07-01 21:30:00,61.52,-0.0,-0.0,0.0,580.0,580.0,-1,-1
44,2021-07-01 22:00:00,72.83,-0.0,-0.0,0.0,580.0,580.0,-1,-1
45,2021-07-01 22:30:00,73.7,-0.0,-0.0,0.0,580.0,580.0,-1,-1
46,2021-07-01 23:00:00,74.52,-0.0,-0.0,0.0,580.0,580.0,-1,-1
47,2021-07-01 23:30:00,95.13,0.0,0.0,0.0,580.0,580.0,0,0
48,2021-07-02 00:00:00,109.48,300.0,135.0,14647.0,580.0,430.0,1,1
49,2021-07-02 00:30:00,89.01,0.0,0.0,0.0,430.0,430.0,0,0
50,2021-07-02 01:00:00,96.53,300.0,135.0,12914.0,430.0,280.0,1,1
51,2021-07-02 01:30:00,98.19,300.0,135.0,13136.0,280.0,130.0,1,1
52,2021-07-02 02:00:00,81.15,-300.0,-150.0,-12283.0,130.0,265.0,-1,-1
53,2021-07-02 02:30:00,79.17,-300.0,-150.0,-11983.0,265.0,400.0,-1,-1
54,2021-07-02 03:00:00,83.93,0.0,0.0,0.0,400.0,400.0,0,0
55,2021-07-02 03:30:00,86.49,0.0,0.0,0.0,400.0,400.0,0,0
56,2021-07-02 04:00:00,89.89,0.0,0.0,0.0,400.0,400.0,0,0
57,2021-07-02 04:30:00,92.66,300.0,135.0,12397.0,400.0,250.0,1,1
58,2021-07-02 05:00:00,94.89,300.0,135.0,12695.0,250.0,100.0,1,1
59,2021-07-02 05:30:00,105.97,200.0,90.0,9451.0,100.0,0.0,1,1
60,2021-07-02 06:00:00,95.17,0.0,0.0,0.0,0.0,0.0,1,1
61,2021-07-02 06:30:00,78.68,0.0,0.0,0.0,0.0,0.0,1,1
62,2021-07-02 07:00:00,74.89,0.0,0.0,0.0,0.0,0.0,1,1
63,2021-07-02 07:30:00,66.31,0.0,0.0,0.0,0.0,0.0,1,1
64,2021-07-02 08:00:00,66.37,0.0,0.0,0.0,0.0,0.0,1,1
65,2021-07-02 08:30:00,61.43,0.0,0.0,0.0,0.0,0.0,1,1
66,2021-07-02 09:00:00,57.16,0.0,0.0,0.0,0.0,0.0,1,1
67,2021-07-02 09:30:00,43.03,-300.0,-150.0,-6513.0,0.0,135.0,-1,-1
68,2021-07-02 10:00:00,52.08,0.0,0.0,0.0,135.0,135.0,0,0
69,2021-07-02 10:30:00,42.42,-300.0,-150.0,-6421.0,135.0,270.0,-1,-1
70,2021-07-02 11:00:00,41.81,-300.0,-150.0,-6328.0,270.0,405.0,-1,-1
71,2021-07-02 11:30:00,43.14,-300.0,-150.0,-6530.0,405.0,540.0,-1,-1
72,2021-07-02 12:00:00,52.58,-88.88888888888889,-44.44444444444444,-2358.0,540.0,580.0,-1,-1
73,2021-07-02 12:30:00,58.01,-0.0,-0.0,0.0,580.0,580.0,-1,-1
74,2021-07-02 13:00:00,60.3,-0.0,-0.0,0.0,580.0,580.0,-1,-1
75,2021-07-02 13:30:00,50.89,-0.0,-0.0,0.0,580.0,580.0,-1,-1
76,2021-07-02 14:00:00,56.94,-0.0,-0.0,0.0,580.0,580.0,-1,-1
77,2021-07-02 14:30:00,57.12,-0.0,-0.0,0.0,580.0,580.0,-1,-1
78,2021-07-02 15:00:00,66.06,-0.0,-0.0,0.0,580.0,580.0,-1,-1
79,2021-07-02 15:30:00,90.03,-0.0,-0.0,0.0,580.0,580.0,-1,-1
80,2021-07-02 16:00:00,107.17,0.0,0.0,0.0,580.0,580.0,0,0
81,2021-07-02 16:30:00,107.87,0.0,0.0,0.0,580.0,580.0,0,0
82,2021-07-02 17:00:00,130.41,300.0,135.0,17447.0,580.0,430.0,1,1
83,2021-07-02 17:30:00,123.74,300.0,135.0,16555.0,430.0,280.0,1,1
84,2021-07-02 18:00:00,115.71,300.0,135.0,15480.0,280.0,130.0,1,1
85,2021-07-02 18:30:00,117.48,260.0,117.0,13621.0,130.0,0.0,1,1
